BioSample,Location,Isolation source,Isolate,Collection date,MLST,SNP cluster,tdh,trh,Toxigenic
SAMN26523575,USA:NJ,oyster,PDT001262356.1,26/7/2021,-,,.,.,no
SAMN26523576,USA:NJ,oyster,PDT001264350.1,26/7/2021,-,,.,.,no
SAMN26523585,USA:NJ,oyster,PDT001264705.1,26/7/2021,1353,PDS000046706.4,.,.,no
SAMN26655273,"Malaysia: Pahang, Kuantan",coelomic fluid,PDT001371600.1,2020-10,2888,PDS000114581.1,.,.,no
SAMN26659663,USA:NJ,oyster,PDT001269356.1,5/6/2017,97,,.,.,no
SAMN26659667,USA:NJ,oyster,PDT001269359.1,12/6/2017,2893,,.,.,no
SAMN26659668,USA:NJ,oyster,PDT001269354.1,26/7/2021,2547,PDS000104201.6,.,.,no
SAMN26659669,USA:NJ,oyster,PDT001269355.1,7/8/2017,2885,,.,.,no
SAMN26659670,USA:NJ,oyster,PDT001269818.1,26/7/2021,2884,,.,.,no
SAMN26659671,USA:NJ,oyster,PDT001269361.1,26/7/2021,1576,,.,.,no
SAMN26659672,USA:NJ,oyster,PDT001269360.1,9/7/2018,2887,,.,.,no
SAMN26659673,USA:NJ,oyster,PDT001269357.1,30/7/2018,1346,,.,.,no
SAMN26659674,USA:NJ,oyster,PDT001269365.1,25/7/2018,2728,,.,.,no
SAMN26659675,USA:NJ,oyster,PDT001269353.1,19/6/2017,2886,,.,.,no
SAMN26751082,USA:NJ,oyster,PDT001271285.1,30/7/2018,2758,,.,.,no
SAMN26876016,USA,,PDT001274168.1,2022,2889,,.,.,no
SAMN27023183,USA:NJ,oyster,PDT001277045.1,28/8/2017,2547,PDS000104201.6,.,.,no
SAMN27114194,USA:NJ,Oyster,PDT001277378.1,2022-02,2890,,.,.,no
SAMN27114195,USA:NJ,Oyster,PDT001277381.1,2022-02,2891,,.,.,no
SAMN27114196,USA:NJ,Oyster,PDT001277376.1,2022-02,586,,.,.,no
SAMN27114197,USA:NJ,Oyster,PDT001277379.1,2022-02,2546,PDS000107452.1,.,.,no
SAMN27114198,USA:NJ,Oyster,PDT001277380.1,2022-02,2892,,.,.,no
SAMN27150379,USA,,PDT001278371.1,2021,-,,.,.,no
SAMN27297343,USA:MO,shrimp,PDT001279588.1,2022,2757,PDS000055540.9,.,.,no
SAMN27297347,USA:MO,shrimp,PDT001279595.1,2021,-,,.,.,no
SAMN27514928,USA:NJ,oyster,PDT001283154.1,13/8/2018,338,,.,.,no
SAMN27514929,USA:NJ,oyster,PDT001283152.1,27/8/2018,1853,PDS000083723.16,.,.,no
SAMN27514930,USA:NJ,oyster,PDT001283157.1,20/8/2018,2902,,.,.,no
SAMN27514931,USA:NJ,oyster,PDT001283151.1,8/8/2018,323,,.,.,no
SAMN27583593,USA,,PDT001287362.1,2022,2906,,.,.,no
SAMN27590317,USA:WA,Marine Oyster,PDT001287761.1,23/8/2021,1521,PDS000019478.22,.,.,no
SAMN27590318,USA:WA,Marine Oyster,PDT001287750.1,23/8/2021,135,PDS000096294.3,.,.,no
SAMN27590320,USA:WA,Marine Oyster,PDT001287743.1,23/8/2021,2859,PDS000026042.3,.,.,no
SAMN27590321,USA:WA,Marine Oyster,PDT001287742.1,23/8/2021,2909,PDS000108438.3,.,.,no
SAMN27590323,USA:WA,Marine Oyster,PDT001287740.1,23/8/2021,322,PDS000019834.10,.,.,no
SAMN27590324,USA:WA,Marine Oyster,PDT001287739.1,24/8/2021,758,PDS000153560.1,.,.,no
SAMN27590325,USA:WA,Marine Oyster,PDT001287738.1,24/8/2021,6,PDS000020486.4,.,.,no
SAMN27590326,USA:WA,Marine Oyster,PDT001287760.1,24/8/2021,322,PDS000019834.10,.,.,no
SAMN27590328,USA:WA,Marine Oyster,PDT001287758.1,25/8/2021,1521,PDS000019478.22,.,.,no
SAMN27590330,USA:WA,Marine Oyster,PDT001287756.1,31/8/2021,1526,PDS000026041.3,.,.,no
SAMN27590334,USA:WA,Marine Oyster,PDT001287752.1,1/9/2021,1204,PDS000108125.8,.,.,no
SAMN27590335,USA:WA,Marine Oyster,PDT001287751.1,1/9/2021,-,PDS000186712.1,.,.,no
SAMN27590336,USA:WA,Marine Oyster,PDT001287749.1,7/9/2021,-,,.,.,no
SAMN27590338,USA:WA,Marine Oyster,PDT001287747.1,7/9/2021,-,PDS000108436.2,.,.,no
SAMN27590339,USA:WA,Marine Oyster,PDT001287746.1,7/9/2021,1521,PDS000019478.22,.,.,no
SAMN27590639,USA:WA,Marine Oyster,PDT001287814.1,2/8/2021,1205,PDS000025652.7,.,.,no
SAMN27590641,USA:WA,Marine Oyster,PDT001287802.1,2/8/2021,138,PDS000019986.15,.,.,no
SAMN27590642,USA:WA,Marine Oyster,PDT001287796.1,2/8/2021,2859,PDS000026042.3,.,.,no
SAMN27590643,USA:WA,Marine Oyster,PDT001287795.1,3/8/2021,135,PDS000096294.3,.,.,no
SAMN27590644,USA:WA,Marine Oyster,PDT001287794.1,3/8/2021,323,PDS000022389.12,.,.,no
SAMN27590646,USA:WA,Marine Oyster,PDT001287792.1,3/8/2021,212,PDS000019985.7,.,.,no
SAMN27590648,USA:WA,Marine Oyster,PDT001287790.1,4/8/2021,1204,PDS000108125.8,.,.,no
SAMN27590649,USA:WA,Marine Oyster,PDT001287812.1,9/8/2021,1521,PDS000019478.22,.,.,no
SAMN27590650,USA:WA,Marine Oyster,PDT001287811.1,9/8/2021,1521,PDS000019478.22,.,.,no
SAMN27590651,USA:WA,Marine Oyster,PDT001287810.1,9/8/2021,1204,PDS000108125.8,.,.,no
SAMN27590652,USA:WA,Marine Oyster,PDT001287809.1,9/8/2021,1204,PDS000108125.8,.,.,no
SAMN27590654,USA:WA,Marine Oyster,PDT001287807.1,16/8/2021,323,PDS000022389.12,.,.,no
SAMN27590656,USA:WA,Marine Oyster,PDT001287805.1,16/8/2021,1521,PDS000019478.22,.,.,no
SAMN27590658,USA:WA,Marine Oyster,PDT001287803.1,16/8/2021,2859,PDS000026042.3,.,.,no
SAMN27590659,USA:WA,Marine Oyster,PDT001287801.1,16/8/2021,-,PDS000174608.2,.,.,no
SAMN27590660,USA:WA,Marine Oyster,PDT001287800.1,18/8/2021,1204,PDS000108125.8,.,.,no
SAMN27590661,USA:WA,Marine Oyster,PDT001287799.1,18/8/2021,533,PDS000186711.1,.,.,no
SAMN27590662,USA:WA,Marine Oyster,PDT001287798.1,18/8/2021,1521,PDS000019478.22,.,.,no
SAMN27591386,USA:WA,Marine Oyster,PDT001290655.1,20/7/2021,1521,PDS000019478.22,.,.,no
SAMN27591387,USA:WA,Marine Oyster,PDT001290654.1,20/7/2021,1204,PDS000108125.8,.,.,no
SAMN27591389,USA:WA,Marine Oyster,PDT001290637.1,20/7/2021,-,PDS000108436.2,.,.,no
SAMN27591391,USA:WA,Marine Oyster,PDT001290635.1,20/7/2021,212,PDS000019985.7,.,.,no
SAMN27591392,USA:WA,Marine Oyster,PDT001290634.1,21/7/2021,322,PDS000019834.10,.,.,no
SAMN27591393,USA:WA,Marine Oyster,PDT001290633.1,21/7/2021,1204,PDS000108125.8,.,.,no
SAMN27591394,USA:WA,Marine Oyster,PDT001290632.1,26/7/2021,2909,PDS000108438.3,.,.,no
SAMN27591396,USA:WA,Marine Oyster,PDT001290653.1,26/7/2021,28,PDS000174607.1,.,.,no
SAMN27591398,USA:WA,Marine Oyster,PDT001290651.1,26/7/2021,1521,PDS000019478.22,.,.,no
SAMN27591399,USA:WA,Marine Oyster,PDT001290650.1,27/7/2021,1568,PDS000020082.4,.,.,no
SAMN27591400,USA:WA,Marine Oyster,PDT001290649.1,27/7/2021,10,PDS000108434.1,.,.,no
SAMN27591401,USA:WA,Marine Oyster,PDT001290648.1,27/7/2021,22,PDS000096293.3,.,.,no
SAMN27591402,USA:WA,Marine Oyster,PDT001290647.1,27/7/2021,-,PDS000137538.1,.,.,no
SAMN27591403,USA:WA,Marine Oyster,PDT001290646.1,27/7/2021,1204,PDS000108125.8,.,.,no
SAMN27591406,USA:WA,Marine Oyster,PDT001290642.1,28/7/2021,1521,PDS000019478.22,.,.,no
SAMN27591410,USA:WA,Marine Oyster,PDT001290638.1,2/8/2021,1527,,.,.,no
SAMN27646125,USA:WA,Marine Oyster,PDT001290716.1,12/7/2021,50,PDS000108439.1,.,.,no
SAMN27646126,USA:WA,Marine Oyster,PDT001290715.1,12/7/2021,1525,PDS000026043.4,.,.,no
SAMN27646127,USA:WA,Marine Oyster,PDT001290704.1,12/7/2021,2909,PDS000108438.3,.,.,no
SAMN27646128,USA:WA,Marine Oyster,PDT001290698.1,12/7/2021,1204,PDS000108125.8,.,.,no
SAMN27646130,USA:WA,Marine Oyster,PDT001290696.1,13/7/2021,1291,PDS000019481.9,.,.,no
SAMN27646131,USA:WA,Marine Oyster,PDT001290695.1,13/7/2021,22,PDS000096293.3,.,.,no
SAMN27646132,USA:WA,Marine Oyster,PDT001290694.1,13/7/2021,2909,PDS000108438.3,.,.,no
SAMN27646133,USA:WA,Marine Oyster,PDT001290693.1,13/7/2021,1204,PDS000108125.8,.,.,no
SAMN27646136,USA:WA,Marine Oyster,PDT001290713.1,14/7/2021,541,PDS000108435.1,.,.,no
SAMN27646138,USA:WA,Marine Oyster,PDT001290711.1,14/7/2021,2908,,.,.,no
SAMN27646140,USA:WA,Marine Oyster,PDT001290709.1,14/7/2021,541,PDS000108435.1,.,.,no
SAMN27646145,USA:WA,Marine Oyster,PDT001290703.1,19/7/2021,2909,PDS000108438.3,.,.,no
SAMN27646147,USA:WA,Marine Oyster,PDT001290701.1,19/7/2021,2909,PDS000108438.3,.,.,no
SAMN27917784,USA:WA,Marine Oyster,PDT001295158.1,13/7/2021,2909,PDS000108438.3,.,.,no
SAMN28100961,Mexico,shrimp,PDT001299773.1,2019-09,-,,.,.,no
SAMN28100962,Indonesia,shrimp,PDT001299770.1,2019-11,970,PDS000116521.1,.,.,no
SAMN28100963,India,shrimp,PDT001299765.1,2020-01,722,,.,.,no
SAMN28100964,Thailand,shrimp,PDT001299769.1,2020-02,722,PDS000084999.3,.,.,no
SAMN28100965,Viet Nam,shrimp,PDT001299768.1,2020-01,423,,.,.,no
SAMN28100966,Indonesia,shrimp,PDT001299771.1,2020-01,-,,.,.,no
SAMN28100967,Viet Nam,shrimp,PDT001299767.1,2020-01,722,,.,.,no
SAMN28100968,Mexico,shrimp,PDT001299772.1,2020-05,723,PDS000085007.2,.,.,no
SAMN28100969,Viet Nam,shrimp,PDT001299763.1,2020-05,-,,.,.,no
SAMN28100970,Bangladesh,shrimp,PDT001299760.1,2020-05,-,PDS000109064.2,.,.,no
SAMN28100971,Indonesia,shrimp,PDT001299774.1,2020-05,383,PDS000084995.3,.,.,no
SAMN28207897,USA:NJ,Oyster,PDT001306739.1,2022-01,2914,,.,.,no
SAMN28207898,USA:NJ,Oyster,PDT001306738.1,2022-01,1855,,.,.,no
SAMN28207899,USA:NJ,Oyster,PDT001306740.1,2022-01,2913,,.,.,no
SAMN28207900,USA:NJ,Oyster,PDT001306717.1,2022-01,2915,PDS000109596.1,.,.,no
SAMN28207901,USA:NJ,Oyster,PDT001306742.1,2022-01,2915,PDS000109596.1,.,.,no
SAMN28207902,USA:NJ,Oyster,PDT001306719.1,2022-01,1663,PDS000084760.2,.,.,no
SAMN28207903,USA:NJ,Oyster,PDT001306737.1,2022-01,2912,,.,.,no
SAMN28232268,Germany,shrimps,PDT001371601.1,2017,-,PDS000114580.1,.,.,no
SAMN28232995,Germany,oyster,PDT001472189.1,2016,-,,.,.,no
SAMN28494982,"Canada: Rivire St-Jean, Gasp, Quebec",Clams,PDT001400632.1,2014,614,PDS000116530.1,.,.,no
SAMN28494983,"Canada: Smith's Cove, Nova Scotia",Clams,PDT001400631.1,2014,2532,,.,.,no
SAMN28495043,"Canada: Rivire St-Jean, Gasp, Quebec",Clams,PDT001400626.1,2016,-,,.,.,no
SAMN28495046,"Canada: Parksville, British Columbia",Oyster,PDT001400627.1,2016,323,PDS000022389.12,.,.,no
SAMN28495056,Canada: New Brunswick,Oyster,PDT001400625.1,2016,1272,,.,.,no
SAMN28495059,"Canada: Eel Lake, Yarmouth County, Nova Scotia",Oyster,PDT001400623.1,2017,-,PDS000116528.1,.,.,no
SAMN28495060,"Canada: Eel Lake, Yarmouth County, Nova Scotia",Oyster,PDT001400624.1,2017,2474,,.,.,no
SAMN28551625,USA,,PDT001311200.1,2022,2929,,.,.,no
SAMN28767272,Canada: Prince Edward Island,Imported/domestic retail Oyster,PDT001400563.1,2016,2935,,.,.,no
SAMN28767274,Canada: British Columbia,Imported/domestic retail Oyster,PDT001400562.1,2016,322,PDS000019834.10,.,.,no
SAMN28767281,Canada,Imported/domestic retail Mussels,PDT001400561.1,2018,-,PDS000116528.1,.,.,no
SAMN28767292,Thailand,raw shrimp,PDT001400622.1,2009,-,,.,.,no
SAMN28767293,China,raw shrimp,PDT001400621.1,2009,-,,.,.,no
SAMN28767296,Mexico,raw shrimp,PDT001400620.1,2009,-,,.,.,no
SAMN28767297,Ecuador,raw shrimp,PDT001400618.1,2009,-,,.,.,no
SAMN28767298,Ecuador,raw shrimp,PDT001400619.1,2009,1518,PDS000116547.1,.,.,no
SAMN28767302,India,raw shrimp,PDT001400616.1,2011,-,,.,.,no
SAMN28767303,India,raw shrimp,PDT001400617.1,2011,2445,,.,.,no
SAMN28767305,Philippines,raw shrimp,PDT001400615.1,2011,890,PDS000116551.1,.,.,no
SAMN28767306,Philippines,raw shrimp,PDT001400614.1,2011,890,PDS000116551.1,.,.,no
SAMN28767307,Philippines,raw shrimp,PDT001400613.1,2011,890,PDS000116551.1,.,.,no
SAMN28767308,Thailand,raw shrimp,PDT001400612.1,2011,-,PDS000107454.2,.,.,no
SAMN28767309,Thailand,raw shrimp,PDT001400611.1,2011,-,PDS000107454.2,.,.,no
SAMN28767310,Thailand,raw shrimp,PDT001400610.1,2011,-,PDS000107454.2,.,.,no
SAMN28767311,Thailand,raw shrimp,PDT001400608.1,2011,-,PDS000107454.2,.,.,no
SAMN28767314,Viet Nam,raw shrimp,PDT001400609.1,2011,-,,.,.,no
SAMN28767315,Thailand,raw shrimp,PDT001400607.1,2011,-,,.,.,no
SAMN28767318,Indonesia,raw shrimp,PDT001400606.1,2012,-,PDS000116549.1,.,.,no
SAMN28767322,Thailand,raw shrimp,PDT001400605.1,2012,-,PDS000085010.3,.,.,no
SAMN28767326,Indonesia,raw shrimp,PDT001400603.1,2012,-,,.,.,no
SAMN28767327,Thailand,raw shrimp,PDT001400602.1,2012,520,,.,.,no
SAMN28767331,India,raw shrimp,PDT001400601.1,2013,-,PDS000116542.1,.,.,no
SAMN28767332,India,raw shrimp,PDT001400600.1,2013,-,PDS000116542.1,.,.,no
SAMN28767333,Ecuador,raw shrimp,PDT001400599.1,2013,757,,.,.,no
SAMN28767335,India,raw shrimp,PDT001400598.1,2014,353,,.,.,no
SAMN28767336,India,raw shrimp,PDT001400597.1,2014,353,,.,.,no
SAMN28767337,,raw shrimp,PDT001400596.1,2014,334,,.,.,no
SAMN28767338,Mexico,raw shrimp,PDT001400595.1,2015,-,,.,.,no
SAMN28767341,Viet Nam,raw shrimp,PDT001400594.1,2015,3008,PDS000116552.1,.,.,no
SAMN28767342,Viet Nam,raw shrimp,PDT001400592.1,2015,698,PDS000116513.1,.,.,no
SAMN28767343,Viet Nam,raw shrimp,PDT001400593.1,2015,1254,PDS000116553.1,.,.,no
SAMN28767344,Viet Nam,raw shrimp,PDT001400591.1,2015,3008,PDS000116552.1,.,.,no
SAMN28767345,Viet Nam,raw shrimp,PDT001400590.1,2015,698,PDS000116513.1,.,.,no
SAMN28767347,Viet Nam,raw shrimp,PDT001400589.1,2015,3008,PDS000116552.1,.,.,no
SAMN28767349,Viet Nam,raw shrimp,PDT001400588.1,2015,722,PDS000056590.9,.,.,no
SAMN28767350,India,raw shrimp,PDT001400587.1,2015,150,PDS000116514.1,.,.,no
SAMN28767351,India,raw shrimp,PDT001400586.1,2015,150,PDS000116514.1,.,.,no
SAMN28767356,Viet Nam,raw shrimp,PDT001400585.1,2016,355,PDS000116515.1,.,.,no
SAMN28767357,Viet Nam,raw shrimp,PDT001400584.1,2016,355,PDS000116515.1,.,.,no
SAMN28767359,Viet Nam,raw shrimp,PDT001400583.1,2016,-,PDS000116516.1,.,.,no
SAMN28767360,Viet Nam,raw shrimp,PDT001400582.1,2016,-,PDS000116516.1,.,.,no
SAMN28767361,Thailand,raw shrimp,PDT001400580.1,2016,392,PDS000116531.3,.,.,no
SAMN28767362,Thailand,raw shrimp,PDT001400581.1,2016,353,,.,.,no
SAMN28767363,Cuba,raw shrimp,PDT001400579.1,2016,3008,PDS000116552.1,.,.,no
SAMN28767364,Cuba,raw shrimp,PDT001400577.1,2016,1254,PDS000116553.1,.,.,no
SAMN28767365,Thailand,raw shrimp,PDT001400578.1,2016,722,PDS000056590.9,.,.,no
SAMN28767366,India,raw shrimp,PDT001400576.1,2016,722,PDS000078345.7,.,.,no
SAMN28767367,India,raw shrimp,PDT001400575.1,2016,722,PDS000078345.7,.,.,no
SAMN28767370,Thailand,raw shrimp,PDT001400574.1,2017,-,PDS000085010.3,.,.,no
SAMN28767371,Thailand,raw shrimp,PDT001400570.1,2017,977,PDS000116543.4,.,.,no
SAMN28767372,Thailand,raw shrimp,PDT001400571.1,2017,-,,.,.,no
SAMN28767373,Thailand,raw shrimp,PDT001400572.1,2017,239,,.,.,no
SAMN28767374,Thailand,raw shrimp,PDT001400568.1,2017,977,PDS000116543.4,.,.,no
SAMN28767375,Thailand,raw shrimp,PDT001400569.1,2017,392,PDS000116531.3,.,.,no
SAMN28767378,Ecuador,raw shrimp,PDT001400567.1,2017,543,PDS000080804.4,.,.,no
SAMN28767380,Ecuador,raw shrimp,PDT001400565.1,2018,543,PDS000080804.4,.,.,no
SAMN28767383,Viet Nam,raw shrimp,PDT001400566.1,2019,-,PDS000107454.2,.,.,no
SAMN28860739,USA,,PDT001322516.1,2022,2931,,.,.,no
SAMN28860742,USA,,PDT001322512.1,2021,212,,.,.,no
SAMN28860743,USA,,PDT001322514.1,2022,2932,,.,.,no
SAMN28861108,USA,,PDT001322538.1,2022,2930,,.,.,no
SAMN29017554,USA,,PDT001327934.1,2022,2934,,.,.,no
SAMN29444869,USA,,PDT001350622.1,2022,1577,,.,.,no
SAMN29622003,USA:MO,shrimp,PDT001356174.1,2022,2946,PDS000190331.1,.,.,no
SAMN29622004,USA:MO,Shirmp,PDT001356173.1,2022,334,,.,.,no
SAMN29622008,USA:MO,shrimp,PDT001356171.1,2022,373,,.,.,no
SAMN29637700,USA,,PDT001357434.1,2020,2943,,.,.,no
SAMN29637701,USA,,PDT001357438.1,2020,2944,,.,.,no
SAMN29637702,USA,,PDT001357437.1,2022,2913,PDS000113656.1,.,.,no
SAMN29658970,USA,,PDT001357673.1,2022,2948,,.,.,no
SAMN29658975,USA,,PDT001357670.1,2022,2947,,.,.,no
SAMN29843622,USA,,PDT001364935.1,2022,2483,,.,.,no
SAMN29843623,USA,,PDT001364936.1,2022,1777,,.,.,no
SAMN29844259,USA,,PDT001364972.1,2022,2949,,.,.,no
SAMN29844260,USA,,PDT001364973.1,2022,1709,,.,.,no
SAMN29870528,USA,,PDT001366675.1,2022,771,PDS000049496.7,.,.,no
SAMN30078542,USA,,PDT001376536.1,2022,1257,,.,.,no
SAMN30104466,USA,,PDT001377682.1,2022,3228,,.,.,no
SAMN30215657,USA,,PDT001382115.1,2022,3229,,.,.,no
SAMN30242692,USA,,PDT001383634.1,2022,532,,.,.,no
SAMN30282289,USA,,PDT001386795.1,2022,651,PDS000101164.3,.,.,no
SAMN30349690,USA,,PDT001391162.1,,-,,.,.,no
SAMN30349722,USA,,PDT001391152.1,2022,-,,.,.,no
SAMN30438473,USA,,PDT001397933.1,2022,-,PDS000193884.1,.,.,no
SAMN30468851,USA,,PDT001396964.1,,-,PDS000116181.1,.,.,no
SAMN30477911,USA,,PDT001397830.1,2022,1730,,.,.,no
SAMN30477913,USA,,PDT001397829.1,2022,1250,,.,.,no
SAMN30685675,USA,,PDT001409999.1,2022,131,PDS000117460.1,.,.,no
SAMN30685679,USA,,PDT001409942.1,,3017,,.,.,no
SAMN30694309,USA,,PDT001410529.1,2022,-,,.,.,no
SAMN30857516,USA,,PDT001418846.1,2022,1735,,.,.,no
SAMN30861534,USA,,PDT001417198.1,2022,3240,,.,.,no
SAMN30879603,USA,shrimp,PDT001419054.1,2019-10,-,,.,.,no
SAMN30879604,Indonesia,shrimp,PDT001419053.1,2019-09,722,PDS000078345.7,.,.,no
SAMN31111549,USA,,PDT001438935.1,2022,3243,,.,.,no
SAMN31151341,,shrimp,PDT001441996.1,2022,1823,PDS000120174.1,.,.,no
SAMN31151342,,shrimp,PDT001441995.1,2022,-,,.,.,no
SAMN31185952,USA,,PDT001444904.1,2022,2256,PDS000120349.1,.,.,no
SAMN31456431,USA,,PDT001467473.1,2022,1560,,.,.,no
SAMN31466558,USA:NJ,oyster,PDT001468365.1,6/6/2022,1391,,.,.,no
SAMN31466562,USA:NJ,oyster,PDT001468375.1,20/6/2022,2865,,.,.,no
SAMN31466571,USA:NJ,oyster,PDT001468364.1,20/6/2022,-,PDS000150457.1,.,.,no
SAMN31466584,USA:NJ,oyster,PDT001468372.1,20/6/2022,2510,PDS000093233.4,.,.,no
SAMN31466590,USA:NJ,oyster,PDT001468371.1,20/6/2022,-,,.,.,no
SAMN31466607,USA:NJ,oyster,PDT001468366.1,6/6/2022,-,,.,.,no
SAMN31466614,USA:NJ,oyster,PDT001468374.1,20/6/2022,2691,PDS000150459.1,.,.,no
SAMN31466620,USA:NJ,oyster,PDT001468368.1,20/6/2022,674,PDS000150451.1,.,.,no
SAMN31466622,USA:NJ,oyster,PDT001468370.1,20/6/2022,-,,.,.,no
SAMN31466626,USA:NJ,oyster,PDT001468367.1,20/6/2022,1853,,.,.,no
SAMN31466631,USA:NJ,oyster,PDT001468376.1,20/6/2022,3006,,.,.,no
SAMN31466639,USA:NJ,oyster,PDT001468369.1,6/6/2022,1205,,.,.,no
SAMN31505864,USA,,PDT001469781.1,2022,1851,PDS000121866.2,.,.,no
SAMN31537097,USA:NJ,oyster,PDT001471983.1,2022-07,2866,,.,.,no
SAMN31537098,USA:NJ,oyster,PDT001471982.1,2022-07,-,,.,.,no
SAMN31537099,USA:NJ,oyster,PDT001471984.1,2022-07,-,,.,.,no
SAMN31537100,USA:NJ,oyster,PDT001471981.1,2022-07,810,PDS000172280.1,.,.,no
SAMN31537101,USA:NJ,oyster,PDT001471980.1,2022-07,-,PDS000172278.1,.,.,no
SAMN31552219,USA,,PDT001472750.1,2022,-,,.,.,no
SAMN31610287,USA,,PDT001476667.1,2022,1778,,.,.,no
SAMN31739616,USA,,PDT001485732.1,2022,-,,.,.,no
SAMN31814924,USA:NJ,oyster,PDT001491117.1,5/7/2022,481,PDS000124814.3,.,.,no
SAMN31814925,USA:NJ,oyster,PDT001491115.1,19/7/2022,768,PDS000124813.1,.,.,no
SAMN32075280,USA,,PDT001514842.1,2022,162,PDS000083822.4,.,.,no
SAMN32075285,USA,,PDT001514840.1,2022,-,,.,.,no
SAMN32075634,USA,,PDT001514852.1,2022,1851,PDS000121866.2,.,.,no
SAMN32188368,USA:NJ,oyster,PDT001524528.1,19/7/2022,-,,.,.,no
SAMN32188373,USA:NJ,oyster,PDT001524529.1,19/7/2022,2454,PDS000127597.1,.,.,no
SAMN32316475,USA:WA,Marine Oyster,PDT001537803.1,27/7/2022,1204,PDS000108125.8,.,.,no
SAMN32316477,USA:WA,Marine Oyster,PDT001537797.1,1/8/2022,1203,PDS000129094.1,.,.,no
SAMN32316478,USA:WA,Marine Oyster,PDT001537796.1,1/8/2022,1203,PDS000129094.1,.,.,no
SAMN32316479,USA:WA,Marine Oyster,PDT001537795.1,1/8/2022,1203,PDS000129094.1,.,.,no
SAMN32519782,USA:MO,shrimp,PDT001555163.1,2022,722,PDS000078345.7,.,.,no
SAMN32519783,,shrimp,PDT001555164.1,2022,-,,.,.,no
SAMN32519784,,shrimp,PDT001555162.1,2022,353,,.,.,no
SAMN32543311,USA:NV,shrimp,PDT001557471.1,2022-12,-,PDS000109064.2,.,.,no
SAMN32973011,USA:NJ,oyster,PDT001598039.1,19/7/2022,135,PDS000172277.1,.,.,no
SAMN32973012,USA:NJ,oyster,PDT001598032.1,19/7/2022,2547,PDS000104201.6,.,.,no
SAMN32973013,USA:NJ,oyster,PDT001598033.1,19/7/2022,481,PDS000124814.3,.,.,no
SAMN32973095,USA:NJ,oyster,PDT001598041.1,19/7/2022,-,PDS000173486.1,.,.,no
SAMN33214612,USA:WA,Marine Oyster,PDT001611073.1,11/8/2022,1204,PDS000108125.8,.,.,no
SAMN33214615,USA:WA,Marine Oyster,PDT001611070.1,22/8/2022,1205,PDS000025652.7,.,.,no
SAMN33214617,USA:WA,Marine Oyster,PDT001611068.1,22/8/2022,1521,PDS000019478.22,.,.,no
SAMN33314852,USA:NJ,lung tissue,PDT001616440.1,2023-01,2451,,.,.,no
SAMN33426067,USA:WA,Marine Oyster,PDT001640734.1,22/8/2022,1521,PDS000019478.22,.,.,no
SAMN33426068,USA:WA,Marine Oyster,PDT001640733.1,24/8/2022,121,,.,.,no
SAMN33426070,USA:WA,Marine Oyster,PDT001640731.1,24/8/2022,1204,PDS000108125.8,.,.,no
SAMN33426071,USA:WA,Marine Oyster,PDT001640730.1,24/8/2022,1521,PDS000019478.22,.,.,no
SAMN33426072,USA:WA,Marine Oyster,PDT001640729.1,24/8/2022,1842,,.,.,no
SAMN33426073,USA:WA,Marine Oyster,PDT001640728.1,24/8/2022,-,PDS000137538.1,.,.,no
SAMN33426074,USA:WA,Marine Oyster,PDT001640727.1,24/8/2022,1521,PDS000019478.22,.,.,no
SAMN33426075,USA:WA,Marine Oyster,PDT001640739.1,25/8/2022,1291,PDS000019481.9,.,.,no
SAMN33426076,USA:WA,Marine Oyster,PDT001640738.1,29/8/2022,-,,.,.,no
SAMN33426077,USA:WA,Marine Oyster,PDT001640737.1,6/9/2022,1525,PDS000026043.4,.,.,no
SAMN33426078,USA:WA,Marine Oyster,PDT001640736.1,6/9/2022,1204,PDS000108125.8,.,.,no
SAMN33578526,USA,,PDT001651229.1,2022,1346,,.,.,no
SAMN33578527,USA,,PDT001651230.1,2022,2563,,.,.,no
SAMN33578528,USA,,PDT001651231.1,2022,2884,,.,.,no
SAMN33578529,USA,,PDT001651233.1,2022,3240,,.,.,no
SAMN33843931,USA:WA,Marine Oyster,PDT001665144.1,28/7/2022,1291,PDS000019481.9,.,.,no
SAMN33843934,USA:WA,Marine Oyster,PDT001665141.1,11/8/2022,135,PDS000096294.3,.,.,no
SAMN33843935,USA:WA,Marine Oyster,PDT001665140.1,11/8/2022,1204,PDS000108125.8,.,.,no
SAMN33843936,USA:WA,Marine Oyster,PDT001665139.1,22/8/2022,135,PDS000096294.3,.,.,no
SAMN33843937,USA:WA,Marine Oyster,PDT001665138.1,22/8/2022,1521,PDS000019478.22,.,.,no
SAMN33843938,USA:WA,Marine Oyster,PDT001665137.1,24/8/2022,322,PDS000174612.2,.,.,no
SAMN33900895,USA:MO,shrimp,PDT001667451.1,2023,972,PDS000056049.4,.,.,no
SAMN33901027,,shrimp,PDT001667475.1,2022,919,,.,.,no
SAMN33901084,USA:MO,shrimp,PDT001667483.1,2023,722,PDS000056590.9,.,.,no
SAMN34066256,Malaysia: selangor,gut of Asian seabass,PDT001725782.1,2021-03,-,,.,.,no
SAMN34282414,USA,,PDT001696478.1,2023,674,,.,.,no
SAMN34410539,USA,,PDT001707726.1,2023,-,,.,.,no
SAMN34588312,USA:MO,shrimp,PDT001719327.1,2023,973,,.,.,no
